DC ID,DC Name,Delivery Date,Weekday,Time Scope,DC Capacity,Orders Delivered,Items Delivered,Service Type,State
DC_001,North Urban Hub DC_001,2026-04-01,Wednesday,Morning,406,237,753,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-01,Wednesday,Afternoon,642,411,1232,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-01,Wednesday,Evening,345,194,675,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-01,Wednesday,Morning,198,119,329,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-01,Wednesday,Afternoon,251,180,550,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-01,Wednesday,Evening,122,93,262,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-01,Wednesday,Morning,219,240,721,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-01,Wednesday,Afternoon,382,366,1165,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-01,Wednesday,Evening,231,222,722,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-01,Wednesday,Morning,525,339,981,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-01,Wednesday,Afternoon,924,527,1588,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-01,Wednesday,Evening,641,338,1049,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-01,Wednesday,Morning,95,51,172,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-01,Wednesday,Afternoon,132,92,280,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-01,Wednesday,Evening,77,45,141,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-01,Wednesday,Morning,765,85,265,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-01,Wednesday,Afternoon,829,112,400,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-01,Wednesday,Evening,539,74,203,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-01,Wednesday,Morning,326,186,632,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-01,Wednesday,Afternoon,532,365,936,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-01,Wednesday,Evening,323,184,545,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-01,Wednesday,Morning,1203,174,462,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-01,Wednesday,Afternoon,1407,237,658,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-01,Wednesday,Evening,827,99,378,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-01,Wednesday,Morning,315,179,571,Satellite Depot,West
