DC ID,DC Name,Order Cycle Time (Minutes)
DC_001,North Urban Hub DC_001,1440
DC_002,South Regional Center DC_002,0
DC_003,East Satellite Depot DC_003,720
DC_004,West Urban Hub DC_004,0
DC_005,Central Regional Center DC_005,0
DC_006,North Satellite Depot DC_006,1440
DC_007,South Urban Hub DC_007,1440
DC_008,East Regional Center DC_008,2880
DC_009,West Satellite Depot DC_009,720
DC_010,Central Urban Hub DC_010,720
DC_011,North Regional Center DC_011,720
DC_012,South Satellite Depot DC_012,0
DC_013,East Urban Hub DC_013,0
DC_014,West Regional Center DC_014,720
DC_015,Central Satellite Depot DC_015,0
DC_016,North Urban Hub DC_016,1440
DC_017,South Regional Center DC_017,720
DC_018,East Satellite Depot DC_018,1440
DC_019,West Urban Hub DC_019,1440
DC_020,Central Regional Center DC_020,720
DC_021,North Satellite Depot DC_021,1440
DC_022,South Urban Hub DC_022,1440
DC_023,East Regional Center DC_023,720
DC_024,West Satellite Depot DC_024,720
