Sale Date,Sale Items Forecast
2026-04-01,57396
2026-04-02,58524
2026-04-03,65685
2026-04-04,69439
2026-04-05,61916
2026-04-06,48758
2026-04-07,49086
2026-04-08,54960
2026-04-09,57392
2026-04-10,62453
2026-04-11,69311
2026-04-12,66613
2026-04-13,45921
2026-04-14,56367
2026-04-15,51946
2026-04-16,58686
2026-04-17,66047
2026-04-18,73459
2026-04-19,65179
2026-04-20,50677
2026-04-21,53646
2026-04-22,56266
2026-04-23,63211
2026-04-24,65893
2026-04-25,67851
2026-04-26,60295
2026-04-27,47223
2026-04-28,56822
2026-04-29,58907
2026-04-30,63675
2026-05-01,66117
2026-05-02,74180
2026-05-03,66938
2026-05-04,49489
2026-05-05,57589
2026-05-06,57431
2026-05-07,61370
2026-05-08,67298
2026-05-09,70269
2026-05-10,67519
2026-05-11,49847
2026-05-12,57212
2026-05-13,61768
2026-05-14,64890
2026-05-15,71989
2026-05-16,75523
2026-05-17,65519
2026-05-18,51630
2026-05-19,53164
2026-05-20,56821
2026-05-21,60194
2026-05-22,67224
2026-05-23,78613
2026-05-24,64896
2026-05-25,51645
2026-05-26,62793
2026-05-27,61095
2026-05-28,67870
2026-05-29,68494
2026-05-30,77464
2026-05-31,65748
2026-06-01,52550
2026-06-02,62393
2026-06-03,57711
2026-06-04,67915
2026-06-05,73829
2026-06-06,77120
2026-06-07,65029
2026-06-08,54481
2026-06-09,59195
2026-06-10,64892
2026-06-11,67575
2026-06-12,80027
2026-06-13,79747
2026-06-14,67541
2026-06-15,55621
2026-06-16,62427
2026-06-17,69567
2026-06-18,71410
2026-06-19,76584
2026-06-20,87961
2026-06-21,67991
2026-06-22,54191
2026-06-23,59800
2026-06-24,64861
2026-06-25,64819
2026-06-26,78835
2026-06-27,82310
2026-06-28,68009
2026-06-29,53962
2026-06-30,64675
2026-07-01,69991
2026-07-02,77747
2026-07-03,88897
2026-07-04,86277
2026-07-05,70858
2026-07-06,51576
2026-07-07,65530
2026-07-08,65444
2026-07-09,70295
2026-07-10,76384
2026-07-11,85231
2026-07-12,79736
2026-07-13,59086
2026-07-14,65146
2026-07-15,65687
2026-07-16,66794
2026-07-17,78071
2026-07-18,86932
2026-07-19,83670
2026-07-20,59922
2026-07-21,69961
2026-07-22,68592
2026-07-23,69643
2026-07-24,77336
2026-07-25,85308
2026-07-26,86375
2026-07-27,57974
2026-07-28,70557
2026-07-29,68214
2026-07-30,78678
2026-07-31,84105
2026-08-01,89186
2026-08-02,79115
2026-08-03,59384
2026-08-04,70302
2026-08-05,70896
2026-08-06,71663
2026-08-07,78442
2026-08-08,92071
2026-08-09,86862
